2004-08-08 06:05:00.000000+0:00,3182,5,71,62,,52.5,322,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3099,0,81,65,,59,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3102,0,78,58,,51.2,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3112,0,78,58,,51.2,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3139,0,70,54,,44.5,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3160,0,78,64,,57,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3069,0,99,61,,60.7,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3163,0,92,60,,57.7,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3057,0,93,60,,58,0,0,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3040,0,90,60,,57.1,346,1,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3175,0,74,65,,56.5,0,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3065,8,64,77,,63.9,252,,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3011,5,57,79,,62.5,58,17,,,,,,,,
2004-08-08 06:05:00.000000+0:00,3037,0,0,0,,0,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3028,0,78,62,,55.1,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3009,0,54,58,,41.5,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3158,0,72,61,,51.9,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3097,2,84,54,,49.3,318,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3190,0,85,59,,54.5,0,,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3142,0,98,59,,58.5,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3089,0,80,59,,52.9,0,0,,,,,,,,
2004-08-08 06:10:00.000000+0:00,3171,0,87,55,,51.2,271,2,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3181,0,83,60,,54.8,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3061,0,88,52,,48.6,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3101,2,69,60,,49.8,265,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3046,1,75,60,,52.1,305,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3141,0,,57,,,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3166,0,,53,,,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3067,0,84,56,,51.3,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3188,0,95,53,,51.6,78,2,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3165,1,84,56,,51.3,0,2,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3102,0,79,58,,51.5,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3116,0,84,55,,50.3,157,3,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3155,0,79,63,,56.4,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3055,0,86,54,,49.9,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3180,0,80,60,,53.8,239,2,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3095,0,83,56,,50.9,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3085,0,55,65,,48.5,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3172,0,82,58,,52.6,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3068,0,83,61,,55.8,287,3,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3178,0,79,59,,52.5,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3164,0,83,63,,57.8,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3177,2,74,60,,51.7,240,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3062,0,83,65,,59.7,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3072,0,68,61,,50.4,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3083,0,86,57,,52.9,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3019,0,87,61,,57.1,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3029,0,84,57,,52.2,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3034,10,72,77,,67.3,20,12,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3002,0,75,57,,49.2,268,1,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3013,0,76,67,,59.2,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3193,0,61,63,,49.4,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3000,2,100,57,,57,311,6,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3026,0,100,60,,60,0,,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3042,0,85,64,,59.4,0,0,,,,,,,,
2004-08-08 06:15:00.000000+0:00,3023,0,90,59,,56.1,0,,,,,,,,,
2004-08-08 06:20:00.000000+0:00,3069,0,97,62,,61.2,0,0,,,,,,,,
2004-08-08 06:20:00.000000+0:00,3175,1,75,65,,56.9,347,,,,,,,,,
2004-08-08 06:20:00.000000+0:00,3112,0,78,58,,51.2,0,,,,,,,,,
2004-08-08 06:20:00.000000+0:00,3139,0,72,53,,44.2,0,0,,,,,,,,
