A13,,,,11089
DICW3,801,42.5157,-90.618,2
3CLO3,20,46.22,-124,3
4UT01,5350,40.8294,-111.882,4
690,4950,43.5326,-112.948,5
A01,4149,37.0339,-116.099,6
A02,4435,37.1428,-116.112,7
A03,4130,37.0518,-115.996,8
A04,4418,37.1006,-116.123,9
A05,3092,36.8033,-115.977,10
A07,5467,37.1522,-116.404,11
A09,4215,37.1367,-116.047,12
A10,5128,36.945,-116.09,13
A12,7492,37.1967,-116.228,14
A14,4612,36.937,-116.172,15
A16,4160,37.0714,-116.056,16
A17,4060,37.0714,-116.056,17
A18,5054,37.1067,-116.323,18
A21,4723,37.0314,-116.173,19
A23,3676,36.6614,-116.005,20
A24,4951,36.8433,-116.47,21
A25,2787,36.6856,-116.407,22
A28,3631,36.9006,-116.043,23
A34,3160,36.8436,-115.908,24
A35,5465,37.8014,-116.759,25
A41,3994,37.0217,-116.06,26
A42,2915,36.7056,-116.359,27
A45,3990,37.0064,-116.066,28
A49,4225,37.1039,-116.092,29
AAMA1,860,34.78,-86.55,30
AAWC1,250,35.8639,-119.394,31
ABBW3,1401,44.9459,-90.2721,32
ABEI,4400,42.9533,-112.827,33
ABE,4392,42.955,-112.825,34
ABMN6,620,43.1131,-78.4042,35
ABNW1,2000,46.3428,-123.083,36
ABQ5,5709,34.9574,-106.494,37
ABRK1,1194,37.13,-97.09,38
ABRM8,8300,45.6,-111.96,39
ABTM1,915,45.1847,-69.4528,40
ACDW3,1241,44.209,-91.4606,41
ACHC1,245,37.1575,-120.25,42
ACOC1,435,36.8594,-119.601,43
ACON5,8789,34.7197,-107.848,44
ACRI1,5380,43.6217,-113.389,45
ACRU1,8890,37.5222,-112.271,46
ACU1,112,41.74,-70.89,47
ADFW1,4500,46.2683,-117.498,48
ADMC1,6200,41.24,-120.79,49
ADRN5,6175,34.25,-105.42,50
AFRG1,675,33.8967,-83.3656,51
AFSN2,6310,39.5025,-117.514,52
AFSW1,5120,46.78,-121.75,53
AFTY,6211,42.7333,-110.936,54
AFWT2,20,28.3044,-96.8233,55
AFWW3,970,44.6981,-91.1342,56
AGFO3,150,42.5522,-124.058,57
AGKO,4150,42.5653,-121.982,58
AGLA2,1100,65.02,-146.228,59
AGPC1,9357,37.73,-119.14,60
AGUU1,8900,37.52,-112.27,61
